127.0.0.1,2026-03-11 12:56:15.914238,Fake
127.0.0.1,2026-03-11 12:57:14.565295,Fake
127.0.0.1,2026-03-11 12:57:29.865673,Fake
127.0.0.1,2026-03-11 13:07:38.896956,Real
127.0.0.1,2026-03-11 13:07:40.799223,Real
127.0.0.1,2026-03-11 13:12:41.863035,No face detected
127.0.0.1,2026-03-11 13:13:19.750324,No face detected
127.0.0.1,2026-03-11 13:13:23.717508,No face detected
127.0.0.1,2026-03-11 13:13:44.112746,Real (92.27%)
127.0.0.1,2026-03-11 13:13:44.161001,Real (92.27%)
127.0.0.1,2026-03-11 13:13:52.693450,Real (92.27%)
127.0.0.1,2026-03-11 13:14:03.661652,No face detected
127.0.0.1,2026-03-11 13:14:19.335510,Real (69.30%)
127.0.0.1,2026-03-11 13:14:24.191573,Real (69.30%)
127.0.0.1,2026-03-11 13:15:47.514473,Real (90.12%)
127.0.0.1,2026-03-11 13:36:38.841741,Real (69.73%)
127.0.0.1,2026-03-11 13:36:52.646335,Real (69.73%)
127.0.0.1,2026-03-11 13:37:09.097394,No face detected
127.0.0.1,2026-03-11 13:37:29.664753,Real (75.34%)
127.0.0.1,2026-03-11 13:38:59.132177,Real (87.35%)
127.0.0.1,2026-03-11 13:39:48.898342,Real (94.01%)
127.0.0.1,2026-03-11 13:40:39.098267,No face detected
127.0.0.1,2026-03-11 14:27:26.195807,No face detected
127.0.0.1,2026-03-11 14:27:35.088083,Real (87.35%)
127.0.0.1,2026-03-11 14:27:57.936969,Real (84.34%)
127.0.0.1,2026-03-11 14:28:10.136759,Real (82.16%)
127.0.0.1,2026-03-11 14:28:21.811606,No face detected
127.0.0.1,2026-03-11 18:41:07.242019,Fake (70.33%)
127.0.0.1,2026-03-11 18:41:46.697985,Fake (54.69%)
127.0.0.1,2026-03-11 18:45:21.226987,Fake (75.13%)
127.0.0.1,2026-03-11 18:47:47.931321,Fake (75.13%)
127.0.0.1,2026-03-11 19:01:34.492708,Real (75.13%)
127.0.0.1,2026-03-11 19:19:05.895681,Real (75.13%)
127.0.0.1,2026-03-11 19:19:55.105434,Real (69.74%)
127.0.0.1,2026-03-11 19:20:20.891205,Real (82.05%)
127.0.0.1,2026-03-11 19:20:40.848304,Real (87.11%)
127.0.0.1,2026-03-11 19:24:00.897948,Real (97.25%)
